symbol,cik,accession,okres,data_zlozenia,akceptacja_et,klasa,sesja_reakcji,znacznik_json,json_zgodny
TSLA,1318605,0001564590-20-033069,2020-07-22,2020-07-22,2020-07-22 16:54:41,AMC,2020-07-23,2020-07-22T20:54:41.000Z,tak
GOOGL,1652044,0001652044-20-000031,2020-07-30,2020-07-30,2020-07-30 18:40:20,AMC,2020-07-31,2020-07-30T22:40:20.000Z,tak
AAPL,320193,0000320193-20-000060,2020-07-30,2020-07-30,2020-07-30 18:55:04,AMC,2020-07-31,2020-07-30T22:55:04.000Z,tak
AMZN,1018724,0001018724-20-000019,2020-07-30,2020-07-30,2020-07-30 19:05:15,AMC,2020-07-31,2020-07-30T23:05:15.000Z,tak
META,1326801,0001326801-20-000073,2020-07-30,2020-07-30,2020-07-30 19:18:23,AMC,2020-07-31,2020-07-30T23:18:23.000Z,tak
NVDA,1045810,0001045810-20-000145,2020-08-19,2020-08-19,2020-08-19 16:21:46,AMC,2020-08-20,2020-08-19T20:21:46.000Z,tak
AVGO,1730168,0001730168-20-000154,2020-09-03,2020-09-03,2020-09-03 16:17:44,AMC,2020-09-04,2020-09-03T20:17:44.000Z,tak
TSLA,1318605,0001564590-20-045592,2020-10-02,2020-10-02,2020-10-02 08:00:56,BMO,2020-10-02,2020-10-02T12:00:56.000Z,tak
TSLA,1318605,0001564590-20-047108,2020-10-21,2020-10-21,2020-10-21 16:38:49,AMC,2020-10-22,2020-10-21T20:38:49.000Z,tak
MSFT,789019,0001193125-20-278410,2020-10-27,2020-10-27,2020-10-27 16:12:57,AMC,2020-10-28,2020-10-27T16:12:57.000Z,NIE
GOOGL,1652044,0001652044-20-000046,2020-10-29,2020-10-29,2020-10-29 16:01:25,AMC,2020-10-30,2020-10-29T20:01:25.000Z,tak
META,1326801,0001326801-20-000081,2020-10-29,2020-10-29,2020-10-29 16:07:58,AMC,2020-10-30,2020-10-29T20:07:58.000Z,tak
AAPL,320193,0000320193-20-000094,2020-10-29,2020-10-29,2020-10-29 16:30:32,AMC,2020-10-30,2020-10-29T20:30:32.000Z,tak
AMZN,1018724,0001018724-20-000028,2020-10-29,2020-10-29,2020-10-29 16:42:03,AMC,2020-10-30,2020-10-29T20:42:03.000Z,tak
NVDA,1045810,0001045810-20-000187,2020-11-18,2020-11-18,2020-11-18 16:21:51,AMC,2020-11-19,2020-11-18T21:21:51.000Z,tak
AVGO,1730168,0001730168-20-000201,2020-12-10,2020-12-10,2020-12-10 16:19:56,AMC,2020-12-11,2020-12-10T21:19:56.000Z,tak
TSLA,1318605,0001564590-21-000008,2021-01-02,2021-01-04,2021-01-04 06:05:26,BMO,2021-01-04,2021-01-04T11:05:26.000Z,tak
MSFT,789019,0001193125-21-017683,2021-01-26,2021-01-26,2021-01-26 16:04:05,AMC,2021-01-27,2021-01-26T16:04:05.000Z,NIE
META,1326801,0001326801-21-000011,2021-01-27,2021-01-27,2021-01-27 16:08:08,AMC,2021-01-28,2021-01-27T21:08:08.000Z,tak
AAPL,320193,0000320193-21-000009,2021-01-27,2021-01-27,2021-01-27 16:30:35,AMC,2021-01-28,2021-01-27T21:30:35.000Z,tak
TSLA,1318605,0001564590-21-002645,2021-01-27,2021-01-27,2021-01-27 17:11:12,AMC,2021-01-28,2021-01-27T22:11:12.000Z,tak
GOOGL,1652044,0001652044-21-000006,2021-02-02,2021-02-02,2021-02-02 16:01:27,AMC,2021-02-03,2021-02-02T21:01:27.000Z,tak
AMZN,1018724,0001018724-21-000002,2021-02-02,2021-02-02,2021-02-02 16:30:08,AMC,2021-02-03,2021-02-02T21:30:08.000Z,tak
NVDA,1045810,0001045810-21-000007,2021-02-24,2021-02-24,2021-02-24 16:22:27,AMC,2021-02-25,2021-02-24T21:22:27.000Z,tak
AVGO,1730168,0001730168-21-000026,2021-03-04,2021-03-04,2021-03-04 16:18:53,AMC,2021-03-05,2021-03-04T21:18:53.000Z,tak
TSLA,1318605,0001564590-21-017443,2021-04-02,2021-04-02,2021-04-02 08:38:07,POZA_SESJA,2021-04-05,2021-04-02T12:38:07.000Z,tak
TSLA,1318605,0001564590-21-020558,2021-04-26,2021-04-26,2021-04-26 16:53:31,AMC,2021-04-27,2021-04-26T20:53:31.000Z,tak
GOOGL,1652044,0001652044-21-000018,2021-04-27,2021-04-27,2021-04-27 16:01:33,AMC,2021-04-28,2021-04-27T20:01:33.000Z,tak
MSFT,789019,0001193125-21-134213,2021-04-27,2021-04-27,2021-04-27 16:04:57,AMC,2021-04-28,2021-04-27T16:04:57.000Z,NIE
META,1326801,0001326801-21-000031,2021-04-28,2021-04-28,2021-04-28 16:09:19,AMC,2021-04-29,2021-04-28T20:09:19.000Z,tak
AAPL,320193,0000320193-21-000055,2021-04-28,2021-04-28,2021-04-28 16:30:33,AMC,2021-04-29,2021-04-28T20:30:33.000Z,tak
AMZN,1018724,0001018724-21-000008,2021-04-29,2021-04-29,2021-04-29 16:31:31,AMC,2021-04-30,2021-04-29T20:31:31.000Z,tak
NVDA,1045810,0001045810-21-000063,2021-05-26,2021-05-26,2021-05-26 16:20:35,AMC,2021-05-27,2021-05-26T20:20:35.000Z,tak
AVGO,1730168,0001730168-21-000110,2021-06-02,2021-06-03,2021-06-03 16:19:10,AMC,2021-06-04,2021-06-03T20:19:10.000Z,tak
