symbol,cik,accession,okres,data_zlozenia,akceptacja_et,klasa,sesja_reakcji,znacznik_json,json_zgodny
META,1326801,0001326801-24-000044,2024-04-24,2024-04-24,2024-04-24 16:07:26,AMC,2024-04-25,2024-04-24T20:07:26.000Z,tak
GOOGL,1652044,0001652044-24-000047,2024-04-25,2024-04-25,2024-04-25 16:01:35,AMC,2024-04-26,2024-04-25T20:01:35.000Z,tak
MSFT,789019,0000950170-24-048268,2024-04-25,2024-04-25,2024-04-25 16:03:19,AMC,2024-04-26,2024-04-25T16:03:19.000Z,NIE
AMZN,1018724,0001018724-24-000081,2024-04-30,2024-04-30,2024-04-30 16:10:34,AMC,2024-05-01,2024-04-30T20:10:34.000Z,tak
AAPL,320193,0000320193-24-000067,2024-05-02,2024-05-02,2024-05-02 16:30:34,AMC,2024-05-03,2024-05-02T20:30:34.000Z,tak
NVDA,1045810,0001045810-24-000113,2024-05-22,2024-05-22,2024-05-22 16:21:29,AMC,2024-05-23,2024-05-22T20:21:29.000Z,tak
AVGO,1730168,0001730168-24-000077,2024-06-12,2024-06-12,2024-06-12 16:19:05,AMC,2024-06-13,2024-06-12T20:19:05.000Z,tak
TSLA,1318605,0001628280-24-030714,2024-07-02,2024-07-02,2024-07-02 09:24:01,BMO,2024-07-02,2024-07-02T13:24:01.000Z,tak
GOOGL,1652044,0001652044-24-000076,2024-07-23,2024-07-23,2024-07-23 16:01:54,AMC,2024-07-24,2024-07-23T20:01:54.000Z,tak
TSLA,1318605,0001628280-24-032603,2024-07-23,2024-07-23,2024-07-23 16:32:27,AMC,2024-07-24,2024-07-23T20:32:27.000Z,tak
MSFT,789019,0000950170-24-087835,2024-07-30,2024-07-30,2024-07-30 16:03:22,AMC,2024-07-31,2024-07-30T16:03:22.000Z,NIE
META,1326801,0001326801-24-000065,2024-07-31,2024-07-31,2024-07-31 16:11:20,AMC,2024-08-01,2024-07-31T20:11:20.000Z,tak
AMZN,1018724,0001018724-24-000128,2024-08-01,2024-08-01,2024-08-01 16:06:02,AMC,2024-08-02,2024-08-01T20:06:02.000Z,tak
AAPL,320193,0000320193-24-000080,2024-08-01,2024-08-01,2024-08-01 16:30:26,AMC,2024-08-02,2024-08-01T20:30:26.000Z,tak
NVDA,1045810,0001045810-24-000262,2024-08-28,2024-08-28,2024-08-28 16:21:16,AMC,2024-08-29,2024-08-28T20:21:16.000Z,tak
AVGO,1730168,0001730168-24-000095,2024-09-05,2024-09-05,2024-09-05 16:21:56,AMC,2024-09-06,2024-09-05T20:21:56.000Z,tak
TSLA,1318605,0001628280-24-041816,2024-10-02,2024-10-02,2024-10-02 09:06:34,BMO,2024-10-02,2024-10-02T13:06:34.000Z,tak
TSLA,1318605,0001628280-24-043432,2024-10-23,2024-10-23,2024-10-23 16:09:26,AMC,2024-10-24,2024-10-23T20:09:26.000Z,tak
GOOGL,1652044,0001652044-24-000115,2024-10-29,2024-10-29,2024-10-29 16:01:46,AMC,2024-10-30,2024-10-29T20:01:46.000Z,tak
MSFT,789019,0000950170-24-118955,2024-10-30,2024-10-30,2024-10-30 16:04:07,AMC,2024-10-31,2024-10-30T16:04:07.000Z,NIE
META,1326801,0001326801-24-000077,2024-10-30,2024-10-30,2024-10-30 16:08:12,AMC,2024-10-31,2024-10-30T20:08:12.000Z,tak
AMZN,1018724,0001018724-24-000158,2024-10-31,2024-10-31,2024-10-31 16:13:57,AMC,2024-11-01,2024-10-31T20:13:57.000Z,tak
AAPL,320193,0000320193-24-000120,2024-10-31,2024-10-31,2024-10-31 16:30:25,AMC,2024-11-01,2024-10-31T20:30:25.000Z,tak
NVDA,1045810,0001045810-24-000315,2024-11-20,2024-11-20,2024-11-20 16:21:20,AMC,2024-11-21,2024-11-20T21:21:20.000Z,tak
AVGO,1730168,0001730168-24-000125,2024-12-12,2024-12-12,2024-12-12 16:23:06,AMC,2024-12-13,2024-12-12T21:23:06.000Z,tak
TSLA,1318605,0001628280-25-000007,2025-01-02,2025-01-02,2025-01-02 09:06:39,BMO,2025-01-02,2025-01-02T14:06:39.000Z,tak
MSFT,789019,0000950170-25-010484,2025-01-29,2025-01-29,2025-01-29 16:08:56,AMC,2025-01-30,2025-01-29T16:08:56.000Z,NIE
TSLA,1318605,0001628280-25-002993,2025-01-29,2025-01-29,2025-01-29 16:09:13,AMC,2025-01-30,2025-01-29T21:09:13.000Z,tak
META,1326801,0001326801-25-000014,2025-01-29,2025-01-29,2025-01-29 16:47:14,AMC,2025-01-30,2025-01-29T21:47:14.000Z,tak
AAPL,320193,0000320193-25-000007,2025-01-30,2025-01-30,2025-01-30 16:30:23,AMC,2025-01-31,2025-01-30T21:30:23.000Z,tak
GOOGL,1652044,0001652044-25-000010,2025-02-04,2025-02-04,2025-02-04 16:01:27,AMC,2025-02-05,2025-02-04T21:01:27.000Z,tak
AMZN,1018724,0001018724-25-000002,2025-02-06,2025-02-06,2025-02-06 16:09:12,AMC,2025-02-07,2025-02-06T21:09:12.000Z,tak
NVDA,1045810,0001045810-25-000021,2025-02-26,2025-02-26,2025-02-26 16:21:32,AMC,2025-02-27,2025-02-26T21:21:32.000Z,tak
AVGO,1730168,0001730168-25-000009,2025-03-06,2025-03-06,2025-03-06 16:19:37,AMC,2025-03-07,2025-03-06T21:19:37.000Z,tak
TSLA,1318605,0001628280-25-016070,2025-04-02,2025-04-02,2025-04-02 09:05:22,BMO,2025-04-02,2025-04-02T13:05:22.000Z,tak
TSLA,1318605,0001628280-25-018851,2025-04-22,2025-04-22,2025-04-22 16:10:12,AMC,2025-04-23,2025-04-22T20:10:12.000Z,tak
GOOGL,1652044,0001652044-25-000040,2025-04-23,2025-04-24,2025-04-24 16:01:26,AMC,2025-04-25,2025-04-24T20:01:26.000Z,tak
MSFT,789019,0000950170-25-061032,2025-04-30,2025-04-30,2025-04-30 16:06:03,AMC,2025-05-01,2025-04-30T16:06:03.000Z,NIE
META,1326801,0001326801-25-000050,2025-04-30,2025-04-30,2025-04-30 16:16:00,AMC,2025-05-01,2025-04-30T20:16:00.000Z,tak
AMZN,1018724,0001018724-25-000034,2025-05-01,2025-05-01,2025-05-01 16:15:00,AMC,2025-05-02,2025-05-01T20:15:00.000Z,tak
AAPL,320193,0000320193-25-000055,2025-05-01,2025-05-01,2025-05-01 16:30:21,AMC,2025-05-02,2025-05-01T20:30:21.000Z,tak
NVDA,1045810,0001045810-25-000115,2025-05-28,2025-05-28,2025-05-28 16:21:30,AMC,2025-05-29,2025-05-28T20:21:30.000Z,tak
AVGO,1730168,0001730168-25-000061,2025-06-05,2025-06-05,2025-06-05 16:27:02,AMC,2025-06-06,2025-06-05T20:27:02.000Z,tak
TSLA,1318605,0001628280-25-033842,2025-07-02,2025-07-02,2025-07-02 09:05:13,BMO,2025-07-02,2025-07-02T13:05:13.000Z,tak
GOOGL,1652044,0001652044-25-000056,2025-07-23,2025-07-23,2025-07-23 16:01:33,AMC,2025-07-24,2025-07-23T20:01:33.000Z,tak
TSLA,1318605,0001628280-25-035738,2025-07-23,2025-07-23,2025-07-23 16:14:09,AMC,2025-07-24,2025-07-23T20:14:09.000Z,tak
MSFT,789019,0000950170-25-100226,2025-07-30,2025-07-30,2025-07-30 16:08:53,AMC,2025-07-31,2025-07-30T16:08:53.000Z,NIE
META,1326801,0001628280-25-036719,2025-07-30,2025-07-30,2025-07-30 16:13:01,AMC,2025-07-31,2025-07-30T20:13:01.000Z,tak
AMZN,1018724,0001018724-25-000084,2025-07-31,2025-07-31,2025-07-31 16:13:17,AMC,2025-08-01,2025-07-31T20:13:17.000Z,tak
AAPL,320193,0000320193-25-000071,2025-07-31,2025-07-31,2025-07-31 16:30:25,AMC,2025-08-01,2025-07-31T20:30:25.000Z,tak
NVDA,1045810,0001045810-25-000207,2025-08-27,2025-08-27,2025-08-27 16:22:14,AMC,2025-08-28,2025-08-27T20:22:14.000Z,tak
AVGO,1730168,0001730168-25-000094,2025-09-04,2025-09-04,2025-09-04 16:19:50,AMC,2025-09-05,2025-09-04T20:19:50.000Z,tak
TSLA,1318605,0001628280-25-043530,2025-10-02,2025-10-02,2025-10-02 09:04:54,BMO,2025-10-02,2025-10-02T13:04:54.000Z,tak
TSLA,1318605,0001628280-25-045861,2025-10-22,2025-10-22,2025-10-22 16:06:36,AMC,2025-10-23,2025-10-22T20:06:36.000Z,tak
GOOGL,1652044,0001652044-25-000087,2025-10-29,2025-10-29,2025-10-29 16:01:48,AMC,2025-10-30,2025-10-29T20:01:48.000Z,tak
MSFT,789019,0001193125-25-256310,2025-10-28,2025-10-29,2025-10-29 16:07:42,AMC,2025-10-30,2025-10-29T16:07:42.000Z,NIE
META,1326801,0001628280-25-047114,2025-10-29,2025-10-29,2025-10-29 16:08:34,AMC,2025-10-30,2025-10-29T20:08:34.000Z,tak
AMZN,1018724,0001018724-25-000121,2025-10-30,2025-10-30,2025-10-30 16:13:01,AMC,2025-10-31,2025-10-30T20:13:01.000Z,tak
AAPL,320193,0000320193-25-000077,2025-10-30,2025-10-30,2025-10-30 16:30:35,AMC,2025-10-31,2025-10-30T20:30:35.000Z,tak
NVDA,1045810,0001045810-25-000228,2025-11-19,2025-11-19,2025-11-19 16:20:44,AMC,2025-11-20,2025-11-19T21:20:44.000Z,tak
AVGO,1730168,0001730168-25-000116,2025-12-11,2025-12-11,2025-12-11 16:17:37,AMC,2025-12-12,2025-12-11T21:17:37.000Z,tak
TSLA,1318605,0001628280-26-000016,2026-01-02,2026-01-02,2026-01-02 09:20:13,BMO,2026-01-02,2026-01-02T14:20:13.000Z,tak
META,1326801,0001628280-26-003832,2026-01-28,2026-01-28,2026-01-28 16:04:20,AMC,2026-01-29,2026-01-28T21:04:20.000Z,tak
MSFT,789019,0001193125-26-027198,2026-01-28,2026-01-28,2026-01-28 16:04:38,AMC,2026-01-29,2026-01-28T16:04:38.000Z,NIE
TSLA,1318605,0001628280-26-003837,2026-01-28,2026-01-28,2026-01-28 16:11:04,AMC,2026-01-29,2026-01-28T21:11:04.000Z,tak
AAPL,320193,0000320193-26-000005,2026-01-29,2026-01-29,2026-01-29 16:30:33,AMC,2026-01-30,2026-01-29T21:30:33.000Z,tak
GOOGL,1652044,0001652044-26-000012,2026-02-04,2026-02-04,2026-02-04 16:01:37,AMC,2026-02-05,2026-02-04T21:01:37.000Z,tak
AMZN,1018724,0001018724-26-000002,2026-02-05,2026-02-05,2026-02-05 16:25:12,AMC,2026-02-06,2026-02-05T21:25:12.000Z,tak
NVDA,1045810,0001045810-26-000019,2026-02-25,2026-02-25,2026-02-25 16:31:25,AMC,2026-02-26,2026-02-25T21:31:25.000Z,tak
AVGO,1730168,0001730168-26-000011,2026-03-04,2026-03-04,2026-03-04 16:16:10,AMC,2026-03-05,2026-03-04T21:16:10.000Z,tak
TSLA,1318605,0001628280-26-022956,2026-04-02,2026-04-02,2026-04-02 09:07:13,BMO,2026-04-02,2026-04-02T13:07:13.000Z,tak
TSLA,1318605,0001628280-26-026551,2026-04-22,2026-04-22,2026-04-22 16:10:44,AMC,2026-04-23,2026-04-22T20:10:44.000Z,tak
GOOGL,1652044,0001652044-26-000043,2026-04-29,2026-04-29,2026-04-29 16:01:35,AMC,2026-04-30,2026-04-29T20:01:35.000Z,tak
MSFT,789019,0001193125-26-191457,2026-04-29,2026-04-29,2026-04-29 16:03:31,AMC,2026-04-30,2026-04-29T16:03:31.000Z,NIE
META,1326801,0001628280-26-028364,2026-04-29,2026-04-29,2026-04-29 16:05:41,AMC,2026-04-30,2026-04-29T20:05:41.000Z,tak
AMZN,1018724,0001018724-26-000012,2026-04-29,2026-04-29,2026-04-29 16:18:55,AMC,2026-04-30,2026-04-29T20:18:55.000Z,tak
AAPL,320193,0000320193-26-000011,2026-04-30,2026-04-30,2026-04-30 16:30:41,AMC,2026-05-01,2026-04-30T20:30:41.000Z,tak
NVDA,1045810,0001045810-26-000051,2026-05-20,2026-05-20,2026-05-20 16:21:19,AMC,2026-05-21,2026-05-20T20:21:19.000Z,tak
AVGO,1730168,0001730168-26-000051,2026-06-03,2026-06-03,2026-06-03 16:21:35,AMC,2026-06-04,2026-06-03T20:21:35.000Z,tak
TSLA,1318605,0001628280-26-046717,2026-07-02,2026-07-02,2026-07-02 09:01:26,BMO,2026-07-02,2026-07-02T13:01:26.000Z,tak
GOOGL,1652044,0001652044-26-000066,2026-07-22,2026-07-22,2026-07-22 16:01:36,AMC,2026-07-23,2026-07-22T20:01:36.000Z,tak
TSLA,1318605,0001628280-26-049213,2026-07-22,2026-07-22,2026-07-22 16:35:52,AMC,2026-07-23,2026-07-22T20:35:52.000Z,tak
META,1326801,0001628280-26-050596,2026-07-29,2026-07-29,2026-07-29 16:03:23,AMC,,2026-07-29T20:03:23.000Z,tak
MSFT,789019,0001193125-26-323632,2026-07-29,2026-07-29,2026-07-29 16:04:53,AMC,,2026-07-29T16:04:53.000Z,NIE
